Year,gov_expenditure,life_expectancy,trade,gpd,,,,
1980,1741.328162,64.2819,22.43462,9929,,,,
1981,2120.382594,64.7219,22.117275,10538,,,,
1982,2525.61408,65.2561,24.134014,10240,,,,
1983,2088.177592,65.7563,27.096102,9656,,,,
1984,1936.677045,66.2145,25.672417,9777,,,,
1985,2089.8803,66.7745,24.331293,9785,,,,
1986,2333.978275,67.3767,29.606222,9283,,,,
1987,2466.835072,67.9037,31.262321,9256,,,,
1988,2169.014806,68.2994,38.790337,9193,,,,
1989,1805.311456,68.6209,38.32965,9392,,,,
1990,1606.765437,69.0342,38.519695,9699,,,,
1991,1391.839145,69.3683,35.786533,10008.551,,,,
1992,1372.539935,69.6633,35.553497,10262.211,,,,
1993,1274.706942,69.9607,26.163124,10357.829,,,,
1994,1344.478729,70.3017,29.158472,10721.008,,,,
1995,1318.800217,70.703,43.665833,9944.953,,,,
1996,2160.884008,71.0876,47.767822,10386.499,,,,
1997,2287.40657,71.4723,46.491875,11030.343,,,,
1998,2242.112219,71.7924,48.031883,11510.877,,,,
1999,2395.129473,72.2034,48.01225,11894.203,,,,
2000,2445.29816,72.5621,49.910408,12613.396,,,,
2001,2456.118166,72.9118,44.74011,12565.465,,,,
2002,2499.697474,73.1056,45.209827,12645.504,,,,
2003,2751.363779,73.308,48.700417,12793.956,,,,
2004,2718.540645,73.4324,52.04062,13287.6,,,,
2005,2889.0117,73.6267,52.562645,13655.801,,,,
2006,3082.765026,73.7457,54.482117,14287.559,,,,
2007,3307.148474,73.7955,55.258526,14684.728,,,,
2008,3924.436458,73.6949,56.36528,14808.09,,,,
2009,3719.470045,73.6281,54.591743,14026.989,,,,
2010,3892.156681,73.7181,59.273384,14697.298,,,,
2011,4049.217151,73.9209,62.162388,15210,,,,
2012,4197.90505,74.1278,64.257935,15547.994,,,,
2013,4164.229432,74.289,62.691673,15614.781,,,,
2014,4280.612248,74.4044,64.09841,15883.877,,,,
2015,4311.590894,74.4315,70.41297,16235.004,,,,
2016,4430.599432,74.3763,75.6903,16705.047,,,,
2017,4228.104944,74.2609,76.952126,16900.13,,,,
2018,4258.617689,74.3009,80.21266,17055.117,,,,
2019,4241.136987,74.5302,77.461975,16802.014,,,,
2020,4238.786415,70.4492,76.85455,15253.691,,,,
2021,4241.566627,69.7499,83.0693,15853.376,,,,
2022,4639.851131,73.9731,88.798485,16235.455,,,,
,,,,,,,,
,,,,,,,,
,,,,73.578865,,,,
,,,,74.588905,,,,
