entity,code,year,observation_value__indicator_child_mortality_rate__sex_total__wealth_quintile_total__unit_of_measure_deaths_per_100_live_births
Mexico,MEX,1990,4.5306373
Mexico,MEX,1991,4.319633
Mexico,MEX,1992,4.1167374
Mexico,MEX,1993,3.9238715
Mexico,MEX,1994,3.7403097
Mexico,MEX,1995,3.5653126
Mexico,MEX,1996,3.3999426
Mexico,MEX,1997,3.2396536
Mexico,MEX,1998,3.0882206
Mexico,MEX,1999,2.9434972
Mexico,MEX,2000,2.8091989
Mexico,MEX,2001,2.6838799
Mexico,MEX,2002,2.567085
Mexico,MEX,2003,2.460198
Mexico,MEX,2004,2.3626251
Mexico,MEX,2005,2.2717092
Mexico,MEX,2006,2.1894915
Mexico,MEX,2007,2.1144745
Mexico,MEX,2008,2.043182
Mexico,MEX,2009,1.9767975
Mexico,MEX,2010,1.9120082
Mexico,MEX,2011,1.8506655
Mexico,MEX,2012,1.7909636
Mexico,MEX,2013,1.7337346
Mexico,MEX,2014,1.6778768
Mexico,MEX,2015,1.6247327
Mexico,MEX,2016,1.5723331
Mexico,MEX,2017,1.5215377
Mexico,MEX,2018,1.4720647
Mexico,MEX,2019,1.422841
Mexico,MEX,2020,1.3760648
Mexico,MEX,2021,1.3323996
Mexico,MEX,2022,1.2873857
Mexico,MEX,2023,1.2459075
