Entity,Code,Year,Government expenditure (% of GDP),Government expenditure (% of GDP) (Annotations)
Mexico,MEX,1980,17.5378,
Mexico,MEX,1981,20.1213,
Mexico,MEX,1982,24.6642,
Mexico,MEX,1983,21.6257,
Mexico,MEX,1984,19.8085,
Mexico,MEX,1985,21.358,
Mexico,MEX,1986,25.1425,
Mexico,MEX,1987,26.6512,
Mexico,MEX,1988,23.5942,
Mexico,MEX,1989,19.2218,
Mexico,MEX,1990,16.5663,
Mexico,MEX,1991,13.9065,
Mexico,MEX,1992,13.3747,
Mexico,MEX,1993,12.3067,
Mexico,MEX,1994,12.5406,
Mexico,MEX,1995,13.261,
Mexico,MEX,1996,20.804739,
Mexico,MEX,1997,20.737402,
Mexico,MEX,1998,19.478205,
Mexico,MEX,1999,20.136948,
Mexico,MEX,2000,19.386517,
Mexico,MEX,2001,19.546576,
Mexico,MEX,2002,19.76748,
Mexico,MEX,2003,21.505184,
Mexico,MEX,2004,20.45923,
Mexico,MEX,2005,21.15593,
Mexico,MEX,2006,21.576569,
Mexico,MEX,2007,22.521006,
Mexico,MEX,2008,26.501976,
Mexico,MEX,2009,26.516525,
Mexico,MEX,2010,26.482124,
Mexico,MEX,2011,26.622072,
Mexico,MEX,2012,26.999657,
Mexico,MEX,2013,26.66851,
Mexico,MEX,2014,26.949417,
Mexico,MEX,2015,26.557375,
Mexico,MEX,2016,26.52252,
Mexico,MEX,2017,25.01818,
Mexico,MEX,2018,24.969736,
Mexico,MEX,2019,25.241837,
Mexico,MEX,2020,27.788595,
Mexico,MEX,2021,26.754974,
Mexico,MEX,2022,28.57851,
Mexico,MEX,2023,28.67154,
