entity,code,year,life_expectancy,child_mortality,estimates_deaths,estimate_births
Mexico,MEX,1990,69.0342,4.5306373,510112,2436563
Mexico,MEX,1991,69.3683,4.319633,511996,2454813
Mexico,MEX,1992,69.6633,4.1167374,512922,2469586
Mexico,MEX,1993,69.9607,3.9238715,514896,2478574
Mexico,MEX,1994,70.3017,3.7403097,516658,2476391
Mexico,MEX,1995,70.703,3.5653126,517478,2458900
Mexico,MEX,1996,71.0876,3.3999426,519781,2442339
Mexico,MEX,1997,71.4723,3.2396536,522832,2421231
Mexico,MEX,1998,71.7924,3.0882206,528922,2400525
Mexico,MEX,1999,72.2034,2.9434972,533455,2392938
Mexico,MEX,2000,72.5621,2.8091989,540567,2385977
Mexico,MEX,2001,72.9118,2.6838799,543803,2380261
Mexico,MEX,2002,73.1056,2.567085,553391,2374140
Mexico,MEX,2003,73.308,2.460198,563140,2351177
Mexico,MEX,2004,73.4324,2.3626251,575925,2335226
Mexico,MEX,2005,73.6267,2.2717092,585859,2318498
Mexico,MEX,2006,73.7457,2.1894915,597892,2303997
Mexico,MEX,2007,73.7955,2.1144745,611318,2296268
Mexico,MEX,2008,73.6949,2.043182,627177,2297950
Mexico,MEX,2009,73.6281,1.9767975,642292,2303532
Mexico,MEX,2010,73.7181,1.9120082,651368,2310124
Mexico,MEX,2011,73.9209,1.8506655,656666,2315793
Mexico,MEX,2012,74.1278,1.7909636,662847,2319451
Mexico,MEX,2013,74.289,1.7337346,671786,2314458
Mexico,MEX,2014,74.4044,1.6778768,683362,2270937
Mexico,MEX,2015,74.4315,1.6247327,698389,2206765
Mexico,MEX,2016,74.3763,1.5723331,717395,2162620
Mexico,MEX,2017,74.2609,1.5215377,740091,2124252
Mexico,MEX,2018,74.3009,1.4720647,756310,2122316
Mexico,MEX,2019,74.5302,1.422841,765037,2122565
Mexico,MEX,2020,70.4492,1.3760648,1068730,2100438
Mexico,MEX,2021,69.7499,1.3323996,1150760,2087487
Mexico,MEX,2022,73.9731,1.2873857,838627,2063075
Mexico,MEX,2023,75.069,1.2459075,799360,2037689
